993 1019
244 315 26725
245 361 10100
245 662 24712
247 565 30854
248 337 17837
249 672 31328
251 408 15922
251 441 12738
251 555 16308
252 783 17034
253 301 22602
253 753 21182
254 593 5750
254 700 26557
254 859 10914
254 985 1210
255 277 21726
256 293 14982
257 505 6324
258 384 11714
258 577 22350
259 983 8161
260 438 32202
260 748 32509
260 928 19383
261 324 15743
262 323 16620
262 441 7193
262 566 17112
262 809 14506
263 791 7399
263 809 2744
265 607 29734
267 306 26146
267 427 32604
267 517 30436
268 411 9466
268 465 14705
268 677 25859
269 325 15289
269 341 13399
269 579 2024
269 679 21482
269 807 13474
269 852 14801
270 469 8777
271 353 30977
271 448 10451
271 871 11470
272 319 19437
273 598 8300
273 990 1880
274 277 2843
274 430 23952
274 570 18171
275 382 9856
275 605 5685
275 853 26369
276 425 31294
276 904 30592
277 721 24673
278 624 8086
281 525 26015
282 816 24232
283 582 18369
283 866 22130
283 968 32289
283 976 24907
284 673 4121
284 901 3025
286 746 18767
287 461 28587
287 676 16782
288 558 13615
288 752 11098
288 817 27706
290 303 21917
290 368 31815
290 452 16993
292 357 2360
293 320 19906
293 377 10232
295 571 26621
296 989 9188
297 884 5528
298 556 32744
299 599 12658
300 530 26904
302 928 27819
303 451 27263
304 337 26573
305 544 19017
305 832 10906
305 876 15448
307 618 22235
307 659 21599
307 903 7432
308 415 28807
310 930 24469
311 329 16459
311 768 6900
312 627 7488
313 672 15445
313 756 13336
313 991 13798
314 366 14531
315 858 6360
316 432 8559
316 719 11437
316 835 5547
317 741 19295
317 937 21562
318 875 31598
319 550 28918
319 855 20921
321 700 9155
322 465 4755
322 598 5322
322 751 4753
322 852 1594
323 414 9674
325 626 23751
326 652 4998
326 919 30998
327 373 2199
328 580 24155
328 809 24180
329 497 17187
329 907 19708
330 408 6919
330 735 31876
331 366 12545
332 931 17216
333 443 17593
333 508 15704
334 902 6223
335 701 30269
336 721 21427
336 726 13915
337 542 32427
337 774 11349
338 684 31848
338 742 14904
338 799 785
339 916 4356
340 900 9988
341 505 2734
341 953 4718
342 412 14419
343 854 27445
344 423 29274
344 531 4352
344 871 19451
346 783 21085
347 612 11899
348 888 17990
349 496 31725
350 714 5499
351 877 28011
352 365 13086
353 455 31209
354 361 32053
354 523 30972
354 636 11533
354 866 27683
354 909 29460
355 983 31724
356 645 2129
356 839 32145
357 507 27103
357 538 21198
358 383 26334
359 627 16376
359 936 1431
360 616 7625
360 752 21306
361 739 400
362 585 9792
363 764 31180
364 839 10645
364 842 9882
365 465 29502
366 563 9122
366 652 12449
366 919 707
367 853 11067
369 538 12979
370 782 30239
370 827 8563
371 428 17907
371 483 16354
371 547 18927
371 687 24089
371 691 26688
372 650 24739
372 665 10536
373 635 20748
373 672 7289
373 846 11542
373 852 10392
373 888 19294
373 892 30872
374 779 14451
375 909 9452
375 940 29702
376 802 6998
376 939 27649
377 559 2850
377 896 11308
378 411 16082
380 494 23163
381 417 29091
381 444 13429
381 468 26321
381 541 1199
381 664 25292
381 865 25461
382 752 18646
383 752 30705
385 437 8861
385 681 20056
385 741 8437
385 758 17617
386 717 32504
387 885 27660
389 712 30520
389 954 9699
391 556 20190
391 965 11925
392 655 24941
392 668 12695
394 531 28610
394 609 8709
394 614 9380
395 467 1163
395 554 27898
396 627 28961
398 441 5328
398 495 23048
399 497 17998
401 856 2858
404 567 8143
406 909 28471
408 446 6198
408 762 2463
409 626 24856
410 612 23825
411 772 3673
411 943 14033
412 484 20901
412 566 3213
412 613 28418
413 748 27494
415 599 909
415 678 25741
415 781 203
416 784 5303
417 501 7328
417 502 21744
417 535 18425
417 566 9080
417 861 21464
417 941 21325
417 978 20294
418 571 7089
418 770 21056
422 755 28702
423 622 28285
424 623 25236
425 663 23519
426 972 25967
427 429 31489
427 773 29037
429 878 29086
430 890 20047
431 580 11885
432 836 12217
434 922 7035
436 914 25638
436 958 30570
438 594 25472
439 797 15148
439 896 6153
440 483 3894
440 775 15027
446 553 4452
447 900 21600
450 868 18045
451 538 12944
451 698 6329
451 848 2966
451 981 1700
452 590 5548
453 513 27999
454 637 29874
456 470 28465
456 815 19993
456 875 14653
458 912 14327
459 492 12982
459 800 16281
460 465 3871
462 632 32035
462 957 3081
463 587 1589
464 690 1544
464 708 15416
464 755 32016
465 682 10588
466 854 23430
466 894 13803
467 730 20871
467 734 22495
468 810 28221
469 611 10193
471 601 11708
471 712 16896
471 722 10867
471 877 28806
472 858 11572
473 761 28252
475 604 19020
476 536 8077
477 785 6427
477 988 4388
478 856 1182
481 809 25910
482 566 23568
483 621 1357
483 786 32670
483 855 13962
483 860 28418
484 537 31382
484 803 6303
485 657 1456
485 690 13347
485 694 23134
486 854 23393
487 516 12824
487 852 32735
489 617 1869
489 726 11427
490 547 12277
490 742 9987
492 726 31434
493 574 21839
493 615 8200
493 891 8065
493 913 15320
493 915 28045
494 902 8974
496 533 13833
496 889 21519
498 787 24424
500 628 1900
501 601 9720
501 631 29673
502 588 19396
502 974 19848
505 752 22737
505 796 20127
507 510 14296
508 826 7921
509 809 13656
512 638 32585
512 797 21280
513 615 7914
514 949 22453
515 775 31664
516 854 4251
516 931 23828
518 764 14726
519 713 28712
520 722 28606
521 967 2644
522 647 26156
522 885 6510
523 595 13918
523 753 16268
523 978 3603
528 871 26086
532 776 20835
532 939 13879
533 571 11651
534 576 18229
534 796 21454
535 964 5795
536 829 19264
536 845 28355
540 636 10624
542 777 4803
543 715 19266
543 977 30628
544 873 30310
546 711 32220
549 709 18936
551 873 31854
551 959 17859
554 568 22064
554 574 22092
554 685 15784
555 961 7084
557 573 455
561 690 19101
562 711 32177
564 919 2708
566 690 24941
566 946 5036
567 690 913
569 931 17944
569 955 20778
570 748 19508
570 988 26884
571 905 29581
572 992 12108
573 685 9196
575 602 24564
578 849 4225
579 893 26791
581 615 28409
584 973 16227
585 843 24396
587 691 27204
588 610 31772
589 778 22538
589 992 16334
591 737 17326
592 740 20800
596 718 1638
598 821 11556
600 790 17205
601 632 22329
601 908 17680
602 750 23615
602 890 9660
604 836 13598
605 840 17455
606 983 10958
607 710 23643
607 903 2208
608 695 17810
610 649 21196
610 681 1656
611 639 8529
611 726 4976
611 945 11398
612 852 21730
613 867 31368
614 689 4019
614 883 30875
619 753 1338
620 680 1653
620 727 3960
621 759 31796
621 850 21251
622 897 11787
623 813 31106
623 855 8150
624 828 24597
624 909 20078
625 738 5118
627 818 10546
627 902 21246
629 979 24371
630 861 10140
633 938 24376
634 753 19891
635 855 27916
635 882 13743
637 720 9974
637 817 23381
638 692 2201
639 837 14689
639 911 25849
639 942 18488
642 700 5166
643 945 7226
644 898 14466
644 987 18319
646 761 28287
647 697 26519
647 914 15775
648 690 162
648 938 15938
649 862 16621
649 901 23604
650 663 8547
650 733 28237
650 898 28405
651 695 23915
652 921 733
653 866 31917
654 915 2014
656 661 30169
657 743 10283
659 794 29174
661 873 31327
663 841 2441
663 900 31461
664 903 3807
664 959 24588
666 978 14954
667 988 26276
671 889 13758
672 847 22634
674 830 11895
680 731 24772
680 962 18431
681 905 980
683 934 25682
684 811 22912
685 923 19464
686 748 22538
690 729 5789
690 746 2008
692 812 13911
692 903 18893
693 866 30153
693 971 22864
695 715 9282
696 723 13037
696 738 5650
696 751 17253
700 838 12313
700 866 18144
702 951 32131
705 871 14455
706 837 11069
707 905 5779
709 769 4784
711 852 13478
716 851 22994
725 762 14844
726 814 13612
728 803 3205
728 881 29989
733 993 21504
737 886 32482
740 888 24975
740 926 3632
741 920 23541
742 795 497
745 805 10102
746 982 5771
748 871 23633
748 890 13698
750 925 7874
750 986 4587
752 863 6351
753 856 29293
754 871 17852
757 777 20665
760 948 13270
761 975 19973
765 795 32132
765 922 2559
766 778 17690
767 779 10610
771 896 6338
774 852 28585
777 878 27715
789 817 21536
789 963 30670
794 820 18752
798 919 13624
799 878 20267
806 852 27969
808 858 5373
809 858 25984
816 853 776
822 825 31544
823 851 5903
830 934 9810
831 942 24533
833 844 29031
839 978 22924
849 915 18555
857 948 13790
861 864 28736
861 868 30746
861 871 15065
861 902 28448
865 929 9567
865 983 6869
870 990 30679
872 956 7724
874 956 27634
880 929 20027
886 932 10402
887 939 14920
890 989 17467
898 944 29330
902 922 29398
903 952 13873
908 933 25635
909 939 28728
911 969 16261
913 933 7254
916 984 15142
929 952 7489
630 944
6 7 8 9 10 11 12 13 15 16 19 20 22 23 24 25 26 27 28 29 30 31 33 34 35 41 43 44 48 50 52 53 55 56 57 60 61 62 63 64 65 67 68 69 70 71 72 73 74 75 76 77 78 79 83 84 85 86 87 88 89 93 94 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 115 116 117 118 119 122 123 129 130 131 133 136 137 138 139 140 142 143 144 145 146 147 148 149 150 151 157 159 161 162 163 171 173 174 176 177 178 184 190 191 193 194 196 197 201 202 204 206 207 209 210 213 218 219 220 221 223 226 227 228 229 230 231 232 235 236 237 238 239 240 241 242 244 247 248 249 250 251 252 253 254 255 256 257 258 261 268 269 272 274 279 280 283 284 286 289 290 294 300 302 303 305 306 307 310 311 312 313 314 315 316 317 318 320 322 324 325 328 329 330 334 335 336 337 338 339 346 350 351 352 353 354 355 358 359 364 366 368 369 372 373 374 375 376 377 379 382 384 385 386 387 391 395 396 401 404 405 408 410 413 414 415 416 417 418 419 420 421 422 423 424 425 426 427 428 429 430 431 432 435 436 437 438 439 440 441 442 443 444 445 446 447 448 449 450 451 452 454 456 457 459 462 463 464 465 468 471 472 473 474 475 476 480 484 487 488 491 493 494 497 500 505 509 510 511 512 513 514 515 516 517 518 519 520 522 523 524 526 530 531 532 533 539 540 542 544 545 550 551 552 553 554 555 557 558 559 560 561 562 563 564 565 567 568 571 573 574 575 576 577 578 579 580 581 582 583 584 585 586 587 588 589 590 597 598 599 600 602 603 604 605 610 611 612 615 616 617 618 625 626 627 628 629 630 631 632 633 634 635 636 637 638 639 640 641 642 643 649 650 651 652 653 654 655 661 662 663 666 668 669 670 671 672 673 674 676 677 678 679 680 681 682 683 684 685 686 688 689 690 693 699 700 701 702 703 704 705 706 707 709 712 713 714 715 716 717 718 719 720 721 722 724 725 726 727 728 729 730 731 732 733 734 737 740 742 743 744 748 749 750 752 753 754 755 756 757 758 759 760 761 766 767 768 769 770 771 772 773 774 775 776 777 778 779 780 787 789 790 791 792 793 794 796 799 800 802 806 807 808 809 810 811 812 813 814 815 816 818 820 822 824 825 826 827 828 830 831 832 833 834 835 836 837 838 839 843 845 846 847 848 849 850 855 857 858 861 862 863 865 866 867 868 869 870 871 872 873 874 875 876 877 878 879 883 884 885 886 890 891 892 893 894 896 898 899 901 902 907 910 913 914 916 917 918 919 920 921 922 926 930 931 932 933 934 935 936 937 938 939 940 941 942 946 947 948 949 950 951 952 953 954 955 956 958 959 960 961 962 963 966 969 974 979 980 981 982 983 986 987 988 
817 445
445 56
189 45
843 428
884 822
788 901
981 578
473 726
762 912
195 121
703 449
429 178
416 145
435 201
289 459
410 342
162 494
724 990
777 722
311 824
328 544
644 860
801 250
474 514
546 596
705 979
660 639
573 918
654 950
553 772
52 930
115 692
238 313
769 449
410 552
556 220
773 282
335 689
902 393
92 361
447 30
662 449
17 26
982 327
523 49
329 869
750 27
619 652
415 57
354 353
522 442
98 324
324 13
169 704
586 368
492 992
531 257
166 468
165 651
752 380
314 788
895 330
153 730
189 714
463 663
895 669
472 583
590 391
466 495
113 258
55 813
16 676
276 117
958 26
414 862
123 595
721 341
61 11
895 336
222 899
558 861
491 403
513 456
865 207
109 279
785 723
411 654
139 198
554 218
472 127
973 276
490 27
856 623
262 803
558 400
286 769
283 156
870 573
810 814
901 81
554 679
479 521
676 93
508 871
656 951
761 816
965 779
415 243
235 361
611 647
599 763
104 410
623 818
440 247
441 699
831 854
523 808
122 90
774 604
924 563
275 504
557 183
414 562
609 363
763 46
875 494
400 557
547 434
974 927
247 511
374 432
947 913
138 551
304 895
534 960
347 648
501 820
239 317
243 82
943 29
775 944
477 334
238 183
655 991
146 329
1 488
493 607
698 167
915 572
277 459
685 214
876 48
843 643
839 363
290 75
447 407
5 136
486 188
302 325
616 773
331 642
67 336
591 114
684 44
803 321
938 306
870 676
791 200
218 492
65 491
300 565
297 209
574 438
637 107
684 949
775 980
154 286
465 235
363 109
667 513
140 28
861 7
640 966
511 89
927 662
252 898
915 859
828 664
42 484
323 175
391 318
636 368
625 444
875 400
408 41
564 88
660 698
259 159
446 973
614 221
708 242
411 821
702 546
543 545
347 669
582 504
322 945
854 199
183 95
637 85
237 630
447 785
527 135
1 392
644 869
839 636
684 89
207 523
118 487
91 150
847 184
124 246
294 656
252 284
646 979
735 559
262 889
542 187
298 897
611 371
506 109
86 908
391 841
951 293
521 827
271 302
314 978
298 572
26 537
786 955
266 649
815 142
800 114
240 372
929 357
290 783
202 414
388 146
766 933
631 458
197 7
55 366
900 814
123 692
140 960
597 97
676 411
189 168
93 854
77 970
805 637
864 361
803 807
958 965
169 573
868 375
317 719
553 234
196 213
267 846
168 589
960 92
932 360
800 13
256 975
747 152
697 660
844 848
307 588
168 552
339 740
951 433
967 967
55 327
171 475
60 311
548 356
325 870
498 377
281 77
337 610
118 587
788 127
384 47
593 331
519 591
444 212
828 54
154 30
974 599
214 694
478 377
628 475
277 906
230 121
887 794
280 169
185 506
671 509
287 754
466 889
693 314
56 527
99 678
756 443
914 540
122 743
168 385
654 450
570 194
395 34
562 638
933 341
123 659
342 76
24 834
623 413
523 474
137 29
12 797
592 56
616 167
90 274
418 693
785 63
120 247
673 333
878 103
69 108
249 329
200 858
711 168
679 317
988 369
73 814
480 920
371 973
976 23
722 713
185 706
88 369
977 126
152 28
88 709
333 721
47 328
57 695
145 654
152 303
244 814
643 793
82 595
704 608
61 187
43 283
75 844
518 715
382 416
310 892
75 32
306 726
148 2
125 185
742 248
454 357
573 172
52 636
33 394
125 629
69 273
455 967
347 571
959 728
695 242
49 509
397 644
462 938
343 225
29 705
608 912
918 739
443 315
879 795
218 919
56 2
377 421
789 559
924 373
201 314
459 247
662 214
265 185
187 465
582 405
790 435
488 664
785 8
460 663
149 513
174 818
828 955
510 308
283 602
392 765
914 651
360 611
865 136
543 296
764 677
966 481
851 319
781 531
193 971
394 168
257 802
94 753
697 33
156 134
561 444
967 312
706 218
246 58
769 184
753 665
398 248
762 924
54 86
555 584
184 757
169 298
26 471
824 430
805 22
144 633
674 202
554 585
76 753
117 812
892 51
80 16
184 117
382 738
629 244
523 920
709 746
858 69
671 96
879 574
210 13
469 81
75 770
686 208
420 299
131 666
168 207
345 86
131 507
395 454
246 90
63 673
639 610
710 19
832 37
420 949
864 370
289 265
606 843
571 815
62 160
601 916
912 902
48 654
154 929
533 133
950 691
196 5
731 304
116 217
543 439
261 358
645 742
901 519
542 881
67 100
214 923
9 406
878 184
330 537
73 179
679 368
223 910
610 102
663 58
612 270
242 232
872 614
325 67
779 704
547 135
678 752
5 480
962 496
210 850
993 572
612 313
876 291
915 383
653 190
13 385
914 310
771 119
398 581
577 539
537 217
692 616
587 526
462 968
268 93
450 513
509 630
413 686
327 553
324 521
322 524
257 89
884 6
399 583
615 149
991 659
947 967
466 147
613 188
528 837
846 618
560 542
977 618
10 934
375 351
123 524
268 395
790 239
541 544
771 898
968 230
68 204
947 426
746 308
244 533
49 799
803 48
901 101
186 470
839 968
536 399
399 376
799 118
913 199
56 663
963 122
565 775
192 219
625 566
832 473
611 405
764 854
392 858
254 126
545 151
272 984
475 946
654 828
888 41
829 605
750 620
451 72
157 772
673 43
224 908
424 791
517 660
344 287
17 94
777 340
154 653
550 460
18 784
789 438
164 541
648 383
129 205
107 365
152 235
726 289
142 505
622 204
411 202
341 649
240 294
70 249
740 19
842 148
138 222
121 516
888 39
383 731
816 731
214 396
620 200
469 856
930 926
940 415
399 945
230 791
783 551
108 137
710 292
228 87
966 102
351 174
19 962
951 140
626 66
468 342
293 742
919 928
319 296
304 921
246 862
381 837
531 488
291 68
118 572
668 592
808 796
606 293
128 800
195 364
507 578
964 158
542 975
18 962
166 243
30 11
370 935
81 196
511 251
420 883
660 978
62 277
107 226
418 541
472 57
833 456
571 196
218 577
414 43
584 702
494 942
843 721
847 191
510 543
911 518
701 227
716 671
186 15
456 816
713 371
955 257
519 740
89 357
127 128
595 98
377 170
494 110
892 908
420 668
769 853
88 505
751 493
303 828
737 962
623 547
838 11
147 971
792 828
476 45
12 101
440 347
37 659
498 963
718 191
465 464
857 382
527 952
588 877
98 670
328 582
525 911
539 466
250 807
114 611
325 760
590 578
950 28
118 767
5 289
270 958
36 684
682 647
896 144
637 359
431 441
454 587
235 948
962 535
146 392
829 258
363 555
6 429
794 393
84 361
656 369
895 410
822 481
58 471
18 869
730 678
299 419
537 984
972 224
674 789
360 382
222 219
485 990
774 294
289 744
300 579
273 42
369 498
200 29
691 938
843 481
112 379
347 912
892 75
140 818
635 585
83 471
451 230
741 182
853 594
405 410
44 855
803 660
847 969
168 529
223 434
518 837
415 770
873 273
754 410
262 376
220 60
152 387
599 305
341 746
586 541
774 736
491 901
380 127
913 359
399 234
176 602
319 347
698 953
845 856
254 848
46 45
202 125
69 878
651 737
637 861
725 124
687 125
729 710
271 851
546 961
226 403
984 387
681 929
421 808
873 85
423 528
338 509
762 479
980 739
500 116
158 224
433 104
92 977
753 550
904 800
131 877
623 345
9 7
210 63
441 988
236 375
214 852
155 1
502 608
712 783
936 286
564 56
275 36
574 760
462 972
878 456
458 971
239 391
480 948
646 719
35 941
846 205
475 525
656 260
410 768
719 859
673 392
697 118
223 248
402 946
655 822
931 830
730 897
359 902
565 14
906 443
866 884
306 68
963 517
175 574
885 9
134 848
315 855
541 696
653 853
482 59
53 211
966 479
555 93
937 284
327 247
59 280
37 820
839 489
354 87
181 758
747 143
722 662
375 384
239 621
361 751
388 624
261 531
45 474
939 757
588 950
727 992
314 815
19 538
358 38
207 766
310 159
206 777
930 245
279 948
88 244
529 615
340 234
806 468
366 432
311 897
568 374
650 885
56 180
707 597
404 295
1 386
357 643
875 307
849 562
353 827
539 442
757 895
222 485
131 977
310 489
484 293
800 35
871 823
809 11
414 350
193 884
117 43
267 628
793 887
231 627
829 562
214 634
57 835
567 25
553 309
399 324
691 492
860 451
87 993
280 489
835 917
583 470
844 114
145 52
393 478
468 475
856 974
869 768
822 454
574 509
329 973
318 137
574 837
979 184
874 867
300 335
